interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2025-04-01T01:30:00-07:00,2025-04-01 08:30:00+00:00,2025-04-01T01:35:00-07:00,2025-04-01 08:35:00+00:00,20583
2025-04-01T01:35:00-07:00,2025-04-01 08:35:00+00:00,2025-04-01T01:40:00-07:00,2025-04-01 08:40:00+00:00,20415
2025-04-01T01:40:00-07:00,2025-04-01 08:40:00+00:00,2025-04-01T01:45:00-07:00,2025-04-01 08:45:00+00:00,20345
2025-04-01T01:45:00-07:00,2025-04-01 08:45:00+00:00,2025-04-01T01:50:00-07:00,2025-04-01 08:50:00+00:00,20329
2025-04-01T01:50:00-07:00,2025-04-01 08:50:00+00:00,2025-04-01T01:55:00-07:00,2025-04-01 08:55:00+00:00,20315
2025-04-01T01:55:00-07:00,2025-04-01 08:55:00+00:00,2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,20200
2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,2025-04-01T02:05:00-07:00,2025-04-01 09:05:00+00:00,20199
2025-04-01T02:05:00-07:00,2025-04-01 09:05:00+00:00,2025-04-01T02:10:00-07:00,2025-04-01 09:10:00+00:00,20150
2025-04-01T02:10:00-07:00,2025-04-01 09:10:00+00:00,2025-04-01T02:15:00-07:00,2025-04-01 09:15:00+00:00,20091
2025-04-01T02:15:00-07:00,2025-04-01 09:15:00+00:00,2025-04-01T02:20:00-07:00,2025-04-01 09:20:00+00:00,20152
2025-04-01T02:20:00-07:00,2025-04-01 09:20:00+00:00,2025-04-01T02:25:00-07:00,2025-04-01 09:25:00+00:00,20098
2025-04-01T02:25:00-07:00,2025-04-01 09:25:00+00:00,2025-04-01T02:30:00-07:00,2025-04-01 09:30:00+00:00,20017
2025-04-01T02:30:00-07:00,2025-04-01 09:30:00+00:00,2025-04-01T02:35:00-07:00,2025-04-01 09:35:00+00:00,20021
2025-04-01T02:35:00-07:00,2025-04-01 09:35:00+00:00,2025-04-01T02:40:00-07:00,2025-04-01 09:40:00+00:00,19826
2025-04-01T02:40:00-07:00,2025-04-01 09:40:00+00:00,2025-04-01T02:45:00-07:00,2025-04-01 09:45:00+00:00,19778
2025-04-01T02:45:00-07:00,2025-04-01 09:45:00+00:00,2025-04-01T02:50:00-07:00,2025-04-01 09:50:00+00:00,19765
2025-04-01T02:50:00-07:00,2025-04-01 09:50:00+00:00,2025-04-01T02:55:00-07:00,2025-04-01 09:55:00+00:00,19753
2025-04-01T02:55:00-07:00,2025-04-01 09:55:00+00:00,2025-04-01T03:00:00-07:00,2025-04-01 10:00:00+00:00,19667
2025-04-01T03:00:00-07:00,2025-04-01 10:00:00+00:00,2025-04-01T03:05:00-07:00,2025-04-01 10:05:00+00:00,19617
2025-04-01T03:05:00-07:00,2025-04-01 10:05:00+00:00,2025-04-01T03:10:00-07:00,2025-04-01 10:10:00+00:00,19657
2025-04-01T03:10:00-07:00,2025-04-01 10:10:00+00:00,2025-04-01T03:15:00-07:00,2025-04-01 10:15:00+00:00,19626
2025-04-01T03:15:00-07:00,2025-04-01 10:15:00+00:00,2025-04-01T03:20:00-07:00,2025-04-01 10:20:00+00:00,19700
2025-04-01T03:20:00-07:00,2025-04-01 10:20:00+00:00,2025-04-01T03:25:00-07:00,2025-04-01 10:25:00+00:00,19649
2025-04-01T03:25:00-07:00,2025-04-01 10:25:00+00:00,2025-04-01T03:30:00-07:00,2025-04-01 10:30:00+00:00,19581
2025-04-01T03:30:00-07:00,2025-04-01 10:30:00+00:00,2025-04-01T03:35:00-07:00,2025-04-01 10:35:00+00:00,19497
2025-04-01T03:35:00-07:00,2025-04-01 10:35:00+00:00,2025-04-01T03:40:00-07:00,2025-04-01 10:40:00+00:00,19544
2025-04-01T03:40:00-07:00,2025-04-01 10:40:00+00:00,2025-04-01T03:45:00-07:00,2025-04-01 10:45:00+00:00,19620
2025-04-01T03:45:00-07:00,2025-04-01 10:45:00+00:00,2025-04-01T03:50:00-07:00,2025-04-01 10:50:00+00:00,19640
2025-04-01T03:50:00-07:00,2025-04-01 10:50:00+00:00,2025-04-01T03:55:00-07:00,2025-04-01 10:55:00+00:00,19676
2025-04-01T03:55:00-07:00,2025-04-01 10:55:00+00:00,2025-04-01T04:00:00-07:00,2025-04-01 11:00:00+00:00,19640
2025-04-01T04:00:00-07:00,2025-04-01 11:00:00+00:00,2025-04-01T04:05:00-07:00,2025-04-01 11:05:00+00:00,19566
2025-04-01T04:05:00-07:00,2025-04-01 11:05:00+00:00,2025-04-01T04:10:00-07:00,2025-04-01 11:10:00+00:00,19682
2025-04-01T04:10:00-07:00,2025-04-01 11:10:00+00:00,2025-04-01T04:15:00-07:00,2025-04-01 11:15:00+00:00,19779
2025-04-01T04:15:00-07:00,2025-04-01 11:15:00+00:00,2025-04-01T04:20:00-07:00,2025-04-01 11:20:00+00:00,19842
2025-04-01T04:20:00-07:00,2025-04-01 11:20:00+00:00,2025-04-01T04:25:00-07:00,2025-04-01 11:25:00+00:00,19835
2025-04-01T04:25:00-07:00,2025-04-01 11:25:00+00:00,2025-04-01T04:30:00-07:00,2025-04-01 11:30:00+00:00,19977
2025-04-01T04:30:00-07:00,2025-04-01 11:30:00+00:00,2025-04-01T04:35:00-07:00,2025-04-01 11:35:00+00:00,19887
2025-04-01T04:35:00-07:00,2025-04-01 11:35:00+00:00,2025-04-01T04:40:00-07:00,2025-04-01 11:40:00+00:00,19974
2025-04-01T04:40:00-07:00,2025-04-01 11:40:00+00:00,2025-04-01T04:45:00-07:00,2025-04-01 11:45:00+00:00,19993
2025-04-01T04:45:00-07:00,2025-04-01 11:45:00+00:00,2025-04-01T04:50:00-07:00,2025-04-01 11:50:00+00:00,20109
2025-04-01T04:50:00-07:00,2025-04-01 11:50:00+00:00,2025-04-01T04:55:00-07:00,2025-04-01 11:55:00+00:00,20251
2025-04-01T04:55:00-07:00,2025-04-01 11:55:00+00:00,2025-04-01T05:00:00-07:00,2025-04-01 12:00:00+00:00,20275
2025-04-01T05:00:00-07:00,2025-04-01 12:00:00+00:00,2025-04-01T05:05:00-07:00,2025-04-01 12:05:00+00:00,20395
2025-04-01T05:05:00-07:00,2025-04-01 12:05:00+00:00,2025-04-01T05:10:00-07:00,2025-04-01 12:10:00+00:00,20686
2025-04-01T05:10:00-07:00,2025-04-01 12:10:00+00:00,2025-04-01T05:15:00-07:00,2025-04-01 12:15:00+00:00,20601
2025-04-01T05:15:00-07:00,2025-04-01 12:15:00+00:00,2025-04-01T05:20:00-07:00,2025-04-01 12:20:00+00:00,20860
2025-04-01T05:20:00-07:00,2025-04-01 12:20:00+00:00,2025-04-01T05:25:00-07:00,2025-04-01 12:25:00+00:00,21059
2025-04-01T05:25:00-07:00,2025-04-01 12:25:00+00:00,2025-04-01T05:30:00-07:00,2025-04-01 12:30:00+00:00,21168
2025-04-01T05:30:00-07:00,2025-04-01 12:30:00+00:00,2025-04-01T05:35:00-07:00,2025-04-01 12:35:00+00:00,21140
2025-04-01T05:35:00-07:00,2025-04-01 12:35:00+00:00,2025-04-01T05:40:00-07:00,2025-04-01 12:40:00+00:00,21325
2025-04-01T05:40:00-07:00,2025-04-01 12:40:00+00:00,2025-04-01T05:45:00-07:00,2025-04-01 12:45:00+00:00,21507
2025-04-01T05:45:00-07:00,2025-04-01 12:45:00+00:00,2025-04-01T05:50:00-07:00,2025-04-01 12:50:00+00:00,21563
2025-04-01T05:50:00-07:00,2025-04-01 12:50:00+00:00,2025-04-01T05:55:00-07:00,2025-04-01 12:55:00+00:00,21704
2025-04-01T05:55:00-07:00,2025-04-01 12:55:00+00:00,2025-04-01T06:00:00-07:00,2025-04-01 13:00:00+00:00,21902
2025-04-01T06:00:00-07:00,2025-04-01 13:00:00+00:00,2025-04-01T06:05:00-07:00,2025-04-01 13:05:00+00:00,21979
2025-04-01T06:05:00-07:00,2025-04-01 13:05:00+00:00,2025-04-01T06:10:00-07:00,2025-04-01 13:10:00+00:00,22445
2025-04-01T06:10:00-07:00,2025-04-01 13:10:00+00:00,2025-04-01T06:15:00-07:00,2025-04-01 13:15:00+00:00,22551
2025-04-01T06:15:00-07:00,2025-04-01 13:15:00+00:00,2025-04-01T06:20:00-07:00,2025-04-01 13:20:00+00:00,22700
2025-04-01T06:20:00-07:00,2025-04-01 13:20:00+00:00,2025-04-01T06:25:00-07:00,2025-04-01 13:25:00+00:00,23089
2025-04-01T06:25:00-07:00,2025-04-01 13:25:00+00:00,2025-04-01T06:30:00-07:00,2025-04-01 13:30:00+00:00,23242
2025-04-01T06:30:00-07:00,2025-04-01 13:30:00+00:00,2025-04-01T06:35:00-07:00,2025-04-01 13:35:00+00:00,23209
2025-04-01T06:35:00-07:00,2025-04-01 13:35:00+00:00,2025-04-01T06:40:00-07:00,2025-04-01 13:40:00+00:00,23452
2025-04-01T06:40:00-07:00,2025-04-01 13:40:00+00:00,2025-04-01T06:45:00-07:00,2025-04-01 13:45:00+00:00,23515
2025-04-01T06:45:00-07:00,2025-04-01 13:45:00+00:00,2025-04-01T06:50:00-07:00,2025-04-01 13:50:00+00:00,23766
2025-04-01T06:50:00-07:00,2025-04-01 13:50:00+00:00,2025-04-01T06:55:00-07:00,2025-04-01 13:55:00+00:00,23815
2025-04-01T06:55:00-07:00,2025-04-01 13:55:00+00:00,2025-04-01T07:00:00-07:00,2025-04-01 14:00:00+00:00,23824
2025-04-01T07:00:00-07:00,2025-04-01 14:00:00+00:00,2025-04-01T07:05:00-07:00,2025-04-01 14:05:00+00:00,23950
2025-04-01T07:05:00-07:00,2025-04-01 14:05:00+00:00,2025-04-01T07:10:00-07:00,2025-04-01 14:10:00+00:00,24148
2025-04-01T07:10:00-07:00,2025-04-01 14:10:00+00:00,2025-04-01T07:15:00-07:00,2025-04-01 14:15:00+00:00,24243
2025-04-01T07:15:00-07:00,2025-04-01 14:15:00+00:00,2025-04-01T07:20:00-07:00,2025-04-01 14:20:00+00:00,24395
2025-04-01T07:20:00-07:00,2025-04-01 14:20:00+00:00,2025-04-01T07:25:00-07:00,2025-04-01 14:25:00+00:00,24469
2025-04-01T07:25:00-07:00,2025-04-01 14:25:00+00:00,2025-04-01T07:30:00-07:00,2025-04-01 14:30:00+00:00,24430
2025-04-01T07:30:00-07:00,2025-04-01 14:30:00+00:00,2025-04-01T07:35:00-07:00,2025-04-01 14:35:00+00:00,24352
2025-04-01T07:35:00-07:00,2025-04-01 14:35:00+00:00,2025-04-01T07:40:00-07:00,2025-04-01 14:40:00+00:00,24488
2025-04-01T07:40:00-07:00,2025-04-01 14:40:00+00:00,2025-04-01T07:45:00-07:00,2025-04-01 14:45:00+00:00,24332
2025-04-01T07:45:00-07:00,2025-04-01 14:45:00+00:00,2025-04-01T07:50:00-07:00,2025-04-01 14:50:00+00:00,24235
2025-04-01T07:50:00-07:00,2025-04-01 14:50:00+00:00,2025-04-01T07:55:00-07:00,2025-04-01 14:55:00+00:00,24183
2025-04-01T07:55:00-07:00,2025-04-01 14:55:00+00:00,2025-04-01T08:00:00-07:00,2025-04-01 15:00:00+00:00,24161
2025-04-01T08:00:00-07:00,2025-04-01 15:00:00+00:00,2025-04-01T08:05:00-07:00,2025-04-01 15:05:00+00:00,24054
2025-04-01T08:05:00-07:00,2025-04-01 15:05:00+00:00,2025-04-01T08:10:00-07:00,2025-04-01 15:10:00+00:00,24164
2025-04-01T08:10:00-07:00,2025-04-01 15:10:00+00:00,2025-04-01T08:15:00-07:00,2025-04-01 15:15:00+00:00,24274
2025-04-01T08:15:00-07:00,2025-04-01 15:15:00+00:00,2025-04-01T08:20:00-07:00,2025-04-01 15:20:00+00:00,24350
2025-04-01T08:20:00-07:00,2025-04-01 15:20:00+00:00,2025-04-01T08:25:00-07:00,2025-04-01 15:25:00+00:00,24300
2025-04-01T08:25:00-07:00,2025-04-01 15:25:00+00:00,2025-04-01T08:30:00-07:00,2025-04-01 15:30:00+00:00,23942
2025-04-01T08:30:00-07:00,2025-04-01 15:30:00+00:00,2025-04-01T08:35:00-07:00,2025-04-01 15:35:00+00:00,23710
2025-04-01T08:35:00-07:00,2025-04-01 15:35:00+00:00,2025-04-01T08:40:00-07:00,2025-04-01 15:40:00+00:00,23598
2025-04-01T08:40:00-07:00,2025-04-01 15:40:00+00:00,2025-04-01T08:45:00-07:00,2025-04-01 15:45:00+00:00,23503
2025-04-01T08:45:00-07:00,2025-04-01 15:45:00+00:00,2025-04-01T08:50:00-07:00,2025-04-01 15:50:00+00:00,23511
2025-04-01T08:50:00-07:00,2025-04-01 15:50:00+00:00,2025-04-01T08:55:00-07:00,2025-04-01 15:55:00+00:00,23370
2025-04-01T08:55:00-07:00,2025-04-01 15:55:00+00:00,2025-04-01T09:00:00-07:00,2025-04-01 16:00:00+00:00,23216
2025-04-01T09:00:00-07:00,2025-04-01 16:00:00+00:00,2025-04-01T09:05:00-07:00,2025-04-01 16:05:00+00:00,23141
2025-04-01T09:05:00-07:00,2025-04-01 16:05:00+00:00,2025-04-01T09:10:00-07:00,2025-04-01 16:10:00+00:00,23201
2025-04-01T09:10:00-07:00,2025-04-01 16:10:00+00:00,2025-04-01T09:15:00-07:00,2025-04-01 16:15:00+00:00,23184
2025-04-01T09:15:00-07:00,2025-04-01 16:15:00+00:00,2025-04-01T09:20:00-07:00,2025-04-01 16:20:00+00:00,23056
2025-04-01T09:20:00-07:00,2025-04-01 16:20:00+00:00,2025-04-01T09:25:00-07:00,2025-04-01 16:25:00+00:00,22980
2025-04-01T09:25:00-07:00,2025-04-01 16:25:00+00:00,2025-04-01T09:30:00-07:00,2025-04-01 16:30:00+00:00,22865
2025-04-01T09:30:00-07:00,2025-04-01 16:30:00+00:00,2025-04-01T09:35:00-07:00,2025-04-01 16:35:00+00:00,22868
2025-04-01T09:35:00-07:00,2025-04-01 16:35:00+00:00,2025-04-01T09:40:00-07:00,2025-04-01 16:40:00+00:00,22989
2025-04-01T09:40:00-07:00,2025-04-01 16:40:00+00:00,2025-04-01T09:45:00-07:00,2025-04-01 16:45:00+00:00,22613
2025-04-01T09:45:00-07:00,2025-04-01 16:45:00+00:00,2025-04-01T09:50:00-07:00,2025-04-01 16:50:00+00:00,22547
2025-04-01T09:50:00-07:00,2025-04-01 16:50:00+00:00,2025-04-01T09:55:00-07:00,2025-04-01 16:55:00+00:00,22469
2025-04-01T09:55:00-07:00,2025-04-01 16:55:00+00:00,2025-04-01T10:00:00-07:00,2025-04-01 17:00:00+00:00,22230
2025-04-01T10:00:00-07:00,2025-04-01 17:00:00+00:00,2025-04-01T10:05:00-07:00,2025-04-01 17:05:00+00:00,22089
2025-04-01T10:05:00-07:00,2025-04-01 17:05:00+00:00,2025-04-01T10:10:00-07:00,2025-04-01 17:10:00+00:00,22065
2025-04-01T10:10:00-07:00,2025-04-01 17:10:00+00:00,2025-04-01T10:15:00-07:00,2025-04-01 17:15:00+00:00,22236
2025-04-01T10:15:00-07:00,2025-04-01 17:15:00+00:00,2025-04-01T10:20:00-07:00,2025-04-01 17:20:00+00:00,21685
2025-04-01T10:20:00-07:00,2025-04-01 17:20:00+00:00,2025-04-01T10:25:00-07:00,2025-04-01 17:25:00+00:00,21626
2025-04-01T10:25:00-07:00,2025-04-01 17:25:00+00:00,2025-04-01T10:30:00-07:00,2025-04-01 17:30:00+00:00,21559
2025-04-01T10:30:00-07:00,2025-04-01 17:30:00+00:00,2025-04-01T10:35:00-07:00,2025-04-01 17:35:00+00:00,21358
2025-04-01T10:35:00-07:00,2025-04-01 17:35:00+00:00,2025-04-01T10:40:00-07:00,2025-04-01 17:40:00+00:00,21223
2025-04-01T10:40:00-07:00,2025-04-01 17:40:00+00:00,2025-04-01T10:45:00-07:00,2025-04-01 17:45:00+00:00,20895
2025-04-01T10:45:00-07:00,2025-04-01 17:45:00+00:00,2025-04-01T10:50:00-07:00,2025-04-01 17:50:00+00:00,20871
2025-04-01T10:50:00-07:00,2025-04-01 17:50:00+00:00,2025-04-01T10:55:00-07:00,2025-04-01 17:55:00+00:00,20793
2025-04-01T10:55:00-07:00,2025-04-01 17:55:00+00:00,2025-04-01T11:00:00-07:00,2025-04-01 18:00:00+00:00,20631
2025-04-01T11:00:00-07:00,2025-04-01 18:00:00+00:00,2025-04-01T11:05:00-07:00,2025-04-01 18:05:00+00:00,20615
2025-04-01T11:05:00-07:00,2025-04-01 18:05:00+00:00,2025-04-01T11:10:00-07:00,2025-04-01 18:10:00+00:00,20426
2025-04-01T11:10:00-07:00,2025-04-01 18:10:00+00:00,2025-04-01T11:15:00-07:00,2025-04-01 18:15:00+00:00,20185
2025-04-01T11:15:00-07:00,2025-04-01 18:15:00+00:00,2025-04-01T11:20:00-07:00,2025-04-01 18:20:00+00:00,20002
2025-04-01T11:20:00-07:00,2025-04-01 18:20:00+00:00,2025-04-01T11:25:00-07:00,2025-04-01 18:25:00+00:00,19899
2025-04-01T11:25:00-07:00,2025-04-01 18:25:00+00:00,2025-04-01T11:30:00-07:00,2025-04-01 18:30:00+00:00,19482
2025-04-01T11:30:00-07:00,2025-04-01 18:30:00+00:00,2025-04-01T11:35:00-07:00,2025-04-01 18:35:00+00:00,19367
2025-04-01T11:35:00-07:00,2025-04-01 18:35:00+00:00,2025-04-01T11:40:00-07:00,2025-04-01 18:40:00+00:00,19497
2025-04-01T11:40:00-07:00,2025-04-01 18:40:00+00:00,2025-04-01T11:45:00-07:00,2025-04-01 18:45:00+00:00,19599
2025-04-01T11:45:00-07:00,2025-04-01 18:45:00+00:00,2025-04-01T11:50:00-07:00,2025-04-01 18:50:00+00:00,19319
2025-04-01T11:50:00-07:00,2025-04-01 18:50:00+00:00,2025-04-01T11:55:00-07:00,2025-04-01 18:55:00+00:00,19186
2025-04-01T11:55:00-07:00,2025-04-01 18:55:00+00:00,2025-04-01T12:00:00-07:00,2025-04-01 19:00:00+00:00,19284
2025-04-01T12:00:00-07:00,2025-04-01 19:00:00+00:00,2025-04-01T12:05:00-07:00,2025-04-01 19:05:00+00:00,19119
2025-04-01T12:05:00-07:00,2025-04-01 19:05:00+00:00,2025-04-01T12:10:00-07:00,2025-04-01 19:10:00+00:00,18996
2025-04-01T12:10:00-07:00,2025-04-01 19:10:00+00:00,2025-04-01T12:15:00-07:00,2025-04-01 19:15:00+00:00,18748
2025-04-01T12:15:00-07:00,2025-04-01 19:15:00+00:00,2025-04-01T12:20:00-07:00,2025-04-01 19:20:00+00:00,18678
2025-04-01T12:20:00-07:00,2025-04-01 19:20:00+00:00,2025-04-01T12:25:00-07:00,2025-04-01 19:25:00+00:00,18654
2025-04-01T12:25:00-07:00,2025-04-01 19:25:00+00:00,2025-04-01T12:30:00-07:00,2025-04-01 19:30:00+00:00,18460
2025-04-01T12:30:00-07:00,2025-04-01 19:30:00+00:00,2025-04-01T12:35:00-07:00,2025-04-01 19:35:00+00:00,18451
2025-04-01T12:35:00-07:00,2025-04-01 19:35:00+00:00,2025-04-01T12:40:00-07:00,2025-04-01 19:40:00+00:00,18369
2025-04-01T12:40:00-07:00,2025-04-01 19:40:00+00:00,2025-04-01T12:45:00-07:00,2025-04-01 19:45:00+00:00,18293
2025-04-01T12:45:00-07:00,2025-04-01 19:45:00+00:00,2025-04-01T12:50:00-07:00,2025-04-01 19:50:00+00:00,18116
2025-04-01T12:50:00-07:00,2025-04-01 19:50:00+00:00,2025-04-01T12:55:00-07:00,2025-04-01 19:55:00+00:00,18116
2025-04-01T12:55:00-07:00,2025-04-01 19:55:00+00:00,2025-04-01T13:00:00-07:00,2025-04-01 20:00:00+00:00,17981
2025-04-01T13:00:00-07:00,2025-04-01 20:00:00+00:00,2025-04-01T13:05:00-07:00,2025-04-01 20:05:00+00:00,18001
2025-04-01T13:05:00-07:00,2025-04-01 20:05:00+00:00,2025-04-01T13:10:00-07:00,2025-04-01 20:10:00+00:00,18179
2025-04-01T13:10:00-07:00,2025-04-01 20:10:00+00:00,2025-04-01T13:15:00-07:00,2025-04-01 20:15:00+00:00,18060
2025-04-01T13:15:00-07:00,2025-04-01 20:15:00+00:00,2025-04-01T13:20:00-07:00,2025-04-01 20:20:00+00:00,18043
2025-04-01T13:20:00-07:00,2025-04-01 20:20:00+00:00,2025-04-01T13:25:00-07:00,2025-04-01 20:25:00+00:00,17862
2025-04-01T13:25:00-07:00,2025-04-01 20:25:00+00:00,2025-04-01T13:30:00-07:00,2025-04-01 20:30:00+00:00,17953
2025-04-01T13:30:00-07:00,2025-04-01 20:30:00+00:00,2025-04-01T13:35:00-07:00,2025-04-01 20:35:00+00:00,17964
2025-04-01T13:35:00-07:00,2025-04-01 20:35:00+00:00,2025-04-01T13:40:00-07:00,2025-04-01 20:40:00+00:00,18150
2025-04-01T13:40:00-07:00,2025-04-01 20:40:00+00:00,2025-04-01T13:45:00-07:00,2025-04-01 20:45:00+00:00,18061
2025-04-01T13:45:00-07:00,2025-04-01 20:45:00+00:00,2025-04-01T13:50:00-07:00,2025-04-01 20:50:00+00:00,17984
2025-04-01T13:50:00-07:00,2025-04-01 20:50:00+00:00,2025-04-01T13:55:00-07:00,2025-04-01 20:55:00+00:00,17954
2025-04-01T13:55:00-07:00,2025-04-01 20:55:00+00:00,2025-04-01T14:00:00-07:00,2025-04-01 21:00:00+00:00,18015
2025-04-01T14:00:00-07:00,2025-04-01 21:00:00+00:00,2025-04-01T14:05:00-07:00,2025-04-01 21:05:00+00:00,17977
2025-04-01T14:05:00-07:00,2025-04-01 21:05:00+00:00,2025-04-01T14:10:00-07:00,2025-04-01 21:10:00+00:00,17963
2025-04-01T14:10:00-07:00,2025-04-01 21:10:00+00:00,2025-04-01T14:15:00-07:00,2025-04-01 21:15:00+00:00,17801
2025-04-01T14:15:00-07:00,2025-04-01 21:15:00+00:00,2025-04-01T14:20:00-07:00,2025-04-01 21:20:00+00:00,17806
2025-04-01T14:20:00-07:00,2025-04-01 21:20:00+00:00,2025-04-01T14:25:00-07:00,2025-04-01 21:25:00+00:00,17758
2025-04-01T14:25:00-07:00,2025-04-01 21:25:00+00:00,2025-04-01T14:30:00-07:00,2025-04-01 21:30:00+00:00,17791
2025-04-01T14:30:00-07:00,2025-04-01 21:30:00+00:00,2025-04-01T14:35:00-07:00,2025-04-01 21:35:00+00:00,17850
2025-04-01T14:35:00-07:00,2025-04-01 21:35:00+00:00,2025-04-01T14:40:00-07:00,2025-04-01 21:40:00+00:00,17955
2025-04-01T14:40:00-07:00,2025-04-01 21:40:00+00:00,2025-04-01T14:45:00-07:00,2025-04-01 21:45:00+00:00,18074
2025-04-01T14:45:00-07:00,2025-04-01 21:45:00+00:00,2025-04-01T14:50:00-07:00,2025-04-01 21:50:00+00:00,18187
2025-04-01T14:50:00-07:00,2025-04-01 21:50:00+00:00,2025-04-01T14:55:00-07:00,2025-04-01 21:55:00+00:00,18107
2025-04-01T14:55:00-07:00,2025-04-01 21:55:00+00:00,2025-04-01T15:00:00-07:00,2025-04-01 22:00:00+00:00,18274
2025-04-01T15:00:00-07:00,2025-04-01 22:00:00+00:00,2025-04-01T15:05:00-07:00,2025-04-01 22:05:00+00:00,18562
2025-04-01T15:05:00-07:00,2025-04-01 22:05:00+00:00,2025-04-01T15:10:00-07:00,2025-04-01 22:10:00+00:00,18515
2025-04-01T15:10:00-07:00,2025-04-01 22:10:00+00:00,2025-04-01T15:15:00-07:00,2025-04-01 22:15:00+00:00,18385
2025-04-01T15:15:00-07:00,2025-04-01 22:15:00+00:00,2025-04-01T15:20:00-07:00,2025-04-01 22:20:00+00:00,18440
2025-04-01T15:20:00-07:00,2025-04-01 22:20:00+00:00,2025-04-01T15:25:00-07:00,2025-04-01 22:25:00+00:00,18306
2025-04-01T15:25:00-07:00,2025-04-01 22:25:00+00:00,2025-04-01T15:30:00-07:00,2025-04-01 22:30:00+00:00,18644
2025-04-01T15:30:00-07:00,2025-04-01 22:30:00+00:00,2025-04-01T15:35:00-07:00,2025-04-01 22:35:00+00:00,18905
2025-04-01T15:35:00-07:00,2025-04-01 22:35:00+00:00,2025-04-01T15:40:00-07:00,2025-04-01 22:40:00+00:00,18837
2025-04-01T15:40:00-07:00,2025-04-01 22:40:00+00:00,2025-04-01T15:45:00-07:00,2025-04-01 22:45:00+00:00,18796
2025-04-01T15:45:00-07:00,2025-04-01 22:45:00+00:00,2025-04-01T15:50:00-07:00,2025-04-01 22:50:00+00:00,18749
2025-04-01T15:50:00-07:00,2025-04-01 22:50:00+00:00,2025-04-01T15:55:00-07:00,2025-04-01 22:55:00+00:00,18851
2025-04-01T15:55:00-07:00,2025-04-01 22:55:00+00:00,2025-04-01T16:00:00-07:00,2025-04-01 23:00:00+00:00,18935
2025-04-01T16:00:00-07:00,2025-04-01 23:00:00+00:00,2025-04-01T16:05:00-07:00,2025-04-01 23:05:00+00:00,19248
2025-04-01T16:05:00-07:00,2025-04-01 23:05:00+00:00,2025-04-01T16:10:00-07:00,2025-04-01 23:10:00+00:00,19085
2025-04-01T16:10:00-07:00,2025-04-01 23:10:00+00:00,2025-04-01T16:15:00-07:00,2025-04-01 23:15:00+00:00,18872
2025-04-01T16:15:00-07:00,2025-04-01 23:15:00+00:00,2025-04-01T16:20:00-07:00,2025-04-01 23:20:00+00:00,19126
